motif_name	tf
WRKY14(WRKY)/colamp-WRKY14-DAP-Seq(GSE60143)/Homer	WRKY14
DREB26(AP2EREBP)/col-DREB26-DAP-Seq(GSE60143)/Homer	DREB26
Erra(NR)/HepG2-Erra-ChIP-Seq(GSE31477)/Homer	ESRRA
bZIP69(bZIP)/col-bZIP69-DAP-Seq(GSE60143)/Homer	bZIP69
PRDM1(Zf)/Hela-PRDM1-ChIP-Seq(GSE31477)/Homer	PRDM1
ANAC070(NAC)/colamp-ANAC070-DAP-Seq(GSE60143)/Homer	ANAC070
ANAC011(NAC)/col-ANAC011-DAP-Seq(GSE60143)/Homer	ANAC011
BIM3(bHLH)/col-BIM3-DAP-Seq(GSE60143)/Homer	BIM3
Zac1(Zf)/Neuro2A-Plagl1-ChIP-Seq(GSE75942)/Homer	PLAGL1
MYB3R5(MYB)/col-MYB3R5-DAP-Seq(GSE60143)/Homer	MYB3R5
Elk1(ETS)/Hela-Elk1-ChIP-Seq(GSE31477)/Homer	ELK1
bZIP50(bZIP)/colamp-bZIP50-DAP-Seq(GSE60143)/Homer	bZIP50
RIN(MADS)/Tomato-RIN-ChIP-Seq(GSE116581)/Homer	RIN
THRb(NR)/Liver-NR1A2-ChIP-Seq(GSE52613)/Homer	THRB
CEBP:AP1(bZIP)/ThioMac-CEBPb-ChIP-Seq(GSE21512)/Homer	CEBPB
HNF4a(NR),DR1/HepG2-HNF4a-ChIP-Seq(GSE25021)/Homer	HNF4A
Cbf1(bHLH)/Yeast-Cbf1-ChIP-Seq(GSE29506)/Homer	Cbf1
SOL1(CPP)/colamp-SOL1-DAP-Seq(GSE60143)/Homer	SOL1
KLF14(Zf)/HEK293-KLF14.GFP-ChIP-Seq(GSE58341)/Homer	KLF14
ZNF16(Zf)/HEK293-ZNF16.GFP-ChIP-Seq(GSE58341)/Homer	ZNF16
GATA(Zf),IR3/iTreg-Gata3-ChIP-Seq(GSE20898)/Homer	GATA3
AtGRF6(GRF)/col-AtGRF6-DAP-Seq(GSE60143)/Homer	AtGRF6
Nr5a2(NR)/Pancreas-LRH1-ChIP-Seq(GSE34295)/Homer	NR5A2
NFIL3(bZIP)/HepG2-NFIL3-ChIP-Seq(Encode)/Homer	NFIL3
TRPS1(Zf)/MCF7-TRPS1-ChIP-Seq(GSE107013)/Homer	TRPS1
ABF1/SacCer-Promoters/Homer	ABF1/SacCer-Promoters/Homer
MYB63(MYB)/col-MYB63-DAP-Seq(GSE60143)/Homer	MYB63
NAP(NAC)/col-NAP-DAP-Seq(GSE60143)/Homer	NAP
HSFA1E(HSF)/col-HSFA1E-DAP-Seq(GSE60143)/Homer	HSFA1E
GRF9(GRF)/colamp-GRF9-DAP-Seq(GSE60143)/Homer	GRF9
Unknown6/Drosophila-Promoters/Homer	Unknown6/Drosophila-Promoters
CDX4(Homeobox)/ZebrafishEmbryos-Cdx4.Myc-ChIP-Seq(GSE48254)/Homer	CDX4
TCP20(TCP)/col-TCP20-DAP-Seq(GSE60143)/Homer	TCP20
ANAC087(NAC)/col-ANAC087-DAP-Seq(GSE60143)/Homer	ANAC087
TCP3(TCP)/colamp-TCP3-DAP-Seq(GSE60143)/Homer	TCP3
GLI3(Zf)/Limb-GLI3-ChIP-Chip(GSE11077)/Homer	GLI3
Zic3(Zf)/mES-Zic3-ChIP-Seq(GSE37889)/Homer	ZIC3
PRDM15(Zf)/ESC-Prdm15-ChIP-Seq(GSE73694)/Homer	PRDM15
ZEB1(Zf)/PDAC-ZEB1-ChIP-Seq(GSE64557)/Homer	ZEB1
Oct2(POU,Homeobox)/Bcell-Oct2-ChIP-Seq(GSE21512)/Homer	POU2F2
GRHL2(CP2)/HBE-GRHL2-ChIP-Seq(GSE46194)/Homer	GRHL2
AT2G33550(Trihelix)/colamp-AT2G33550-DAP-Seq(GSE60143)/Homer	AT2G33550
ZNF322(Zf)/HEK293-ZNF322.GFP-ChIP-Seq(GSE58341)/Homer	ZNF322
Klf4(Zf)/mES-Klf4-ChIP-Seq(GSE11431)/Homer	KLF4
ZNF165(Zf)/WHIM12-ZNF165-ChIP-Seq(GSE65937)/Homer	ZNF165
NFY(CCAAT)/Promoter/Homer	NFY
AT1G44830(AP2EREBP)/col-AT1G44830-DAP-Seq(GSE60143)/Homer	AT1G44830
ATY13(MYB)/col-ATY13-DAP-Seq(GSE60143)/Homer	ATY13
GTL1(Trihelix)/colamp-GTL1-DAP-Seq(GSE60143)/Homer	GTL1
NTM1(NAC)/col-NTM1-DAP-Seq(GSE60143)/Homer	NTM1
ETS(ETS)/Promoter/Homer	ETS
ANAC020(NAC)/col-ANAC020-DAP-Seq(GSE60143)/Homer	ANAC020
ANAC094(NAC)/col-ANAC094-DAP-Seq(GSE60143)/Homer	ANAC094
Six4(Homeobox)/MCF7-SIX4-ChIP-Seq(Encode)/Homer	SIX4
PUCHI(AP2EREBP)/colamp-PUCHI-DAP-Seq(GSE60143)/Homer	PUCHI
Pitx1(Homeobox)/Chicken-Pitx1-ChIP-Seq(GSE38910)/Homer	PITX1
Sox9(HMG)/Limb-SOX9-ChIP-Seq(GSE73225)/Homer	SOX9
At3g24120(G2like)/col-At3g24120-DAP-Seq(GSE60143)/Homer	At3g24120
AT1G24250(Orphan)/col-AT1G24250-DAP-Seq(GSE60143)/Homer	AT1G24250
TATA-box/Drosophila-Promoters/Homer	TATA-box/Drosophila-Promoters/Homer
HSF21(HSF)/col-HSF21-DAP-Seq(GSE60143)/Homer	HSF21
ZNF652/HepG2-ZNF652.Flag-ChIP-Seq(Encode)/Homer	ZNF652
VND4(NAC)/colamp-VND4-DAP-Seq(GSE60143)/Homer	VND4
MYB94(MYB)/col-MYB94-DAP-Seq(GSE60143)/Homer	MYB94
REB1/SacCer-Promoters/Homer	REB1/SacCer-Promoters/Homer
WRKY3(WRKY)/col-WRKY3-DAP-Seq(GSE60143)/Homer	WRKY3
bHLH130(bHLH)/col-bHLH130-DAP-Seq(GSE60143)/Homer	bHLH130
ZNF143|STAF(Zf)/CUTLL-ZNF143-ChIP-Seq(GSE29600)/Homer	ZNF143
ARF2(ARF)/col-ARF2-DAP-Seq(GSE60143)/Homer	ARF2
Usf2(bHLH)/C2C12-Usf2-ChIP-Seq(GSE36030)/Homer	USF2
Unknown3/Drosophila-Promoters/Homer	Unknown3/Drosophila-Promoters
Prop1(Homeobox)/GHFT1-PROP1.biotin-ChIP-Seq(GSE77302)/Homer	PROP1
LBD19(LOBAS2)/colamp-LBD19-DAP-Seq(GSE60143)/Homer	LBD19
Egr2(Zf)/Thymocytes-Egr2-ChIP-Seq(GSE34254)/Homer	EGR2
At1g72010(TCP)/colamp-At1g72010-DAP-Seq(GSE60143)/Homer	At1g72010
KLF1(Zf)/HUDEP2-KLF1-CutnRun(GSE136251)/Homer	KLF1
MYB44(MYB)/colamp-MYB44-DAP-Seq(GSE60143)/Homer	MYB44
Hoxc9(Homeobox)/Ainv15-Hoxc9-ChIP-Seq(GSE21812)/Homer	HOXC9
Gata6(Zf)/HUG1N-GATA6-ChIP-Seq(GSE51936)/Homer	GATA6
At2g33710(AP2EREBP)/colamp-At2g33710-DAP-Seq(GSE60143)/Homer	At2g33710
OCT:OCT(POU,Homeobox)/NPC-OCT6-ChIP-Seq(GSE43916)/Homer	POU3F1
JunD(bZIP)/K562-JunD-ChIP-Seq/Homer	JUND
TGA6(bZIP)/colamp-TGA6-DAP-Seq(GSE60143)/Homer	TGA6
Mesp1(bHLH)/ESC-Mesp1-ChIP-Seq(GSE165102)/Homer	MESP1
HSFA6B(HSF)/colamp-HSFA6B-DAP-Seq(GSE60143)/Homer	HSFA6B
SpliceDonor/U1snRNP/Homer	SpliceDonor/U1snRNP/Homer
dof43(C2C2dof)/colamp-dof43-DAP-Seq(GSE60143)/Homer	dof43
RFX(HTH)/K562-RFX3-ChIP-Seq(SRA012198)/Homer	RFX3
ANAC103(NAC)/col-ANAC103-DAP-Seq(GSE60143)/Homer	ANAC103
ARE(NR)/LNCAP-AR-ChIP-Seq(GSE27824)/Homer	AR
At5g04390(C2H2)/col200-At5g04390-DAP-Seq(GSE60143)/Homer	At5g04390
IRF8(IRF)/BMDM-IRF8-ChIP-Seq(GSE77884)/Homer	IRF8
TEAD3(TEA)/HepG2-TEAD3-ChIP-Seq(Encode)/Homer	TEAD3
CUX1(Homeobox)/K562-CUX1-ChIP-Seq(GSE92882)/Homer	CUX1
WRKY43(WRKY)/colamp-WRKY43-DAP-Seq(GSE60143)/Homer	WRKY43
SCL(bHLH)/HPC7-Scl-ChIP-Seq(GSE13511)/Homer	TAL1
GSC(Homeobox)/FrogEmbryos-GSC-ChIP-Seq(DRA000576)/Homer	GSC
MYB30(MYB)/colamp-MYB30-DAP-Seq(GSE60143)/Homer	MYB30
ZNF467(Zf)/HEK293-ZNF467.GFP-ChIP-Seq(GSE58341)/Homer	ZNF467
AT3G52440(C2C2dof)/colamp-AT3G52440-DAP-Seq(GSE60143)/Homer	AT3G52440
AGL63(MADS)/col-AGL63-DAP-Seq(GSE60143)/Homer	AGL63
PCF/Arabidopsis-Promoters/Homer	PCF/Arabidopsis-Promoters/Homer
AT3G10580(MYBrelated)/colamp-AT3G10580-DAP-Seq(GSE60143)/Homer	AT3G10580
SeqBias: CG-repeat	SeqBias: CG-repeat
EAR2(NR)/K562-NR2F6-ChIP-Seq(Encode)/Homer	NR2F6
Tgif1(Homeobox)/mES-Tgif1-ChIP-Seq(GSE55404)/Homer	TGIF1
FAR1(FAR1)/col-FAR1-DAP-Seq(GSE60143)/Homer	FAR1
TBP3(MYBrelated)/col-TBP3-DAP-Seq(GSE60143)/Homer	TBP3
CAMTA5(CAMTA)/col-CAMTA5-DAP-Seq(GSE60143)/Homer	CAMTA5
SpliceAcceptor/Homer	SpliceAcceptor/Homer
PBX2(Homeobox)/K562-PBX2-ChIP-Seq(Encode)/Homer	PBX2
At2g41835(C2H2)/col-At2g41835-DAP-Seq(GSE60143)/Homer	At2g41835
AT5G63260(C3H)/col-AT5G63260-DAP-Seq(GSE60143)/Homer	AT5G63260
E2F7(E2F)/Hela-E2F7-ChIP-Seq(GSE32673)/Homer	E2F7
At1g69690(TCP)/colamp-At1g69690-DAP-Seq(GSE60143)/Homer	At1g69690
MYB99(MYB)/colamp-MYB99-DAP-Seq(GSE60143)/Homer	MYB99
EBF2(EBF)/BrownAdipose-EBF2-ChIP-Seq(GSE97114)/Homer	EBF2
NFE2L2(bZIP)/HepG2-NFE2L2-ChIP-Seq(Encode)/Homer	NFE2L2
DPR(core promoter)	DPR
THRa(NR)/C17.2-THRa-ChIP-Seq(GSE38347)/Homer	THRA
ERF73(AP2EREBP)/col-ERF73-DAP-Seq(GSE60143)/Homer	ERF73
HAT2(Homeobox)/colamp-HAT2-DAP-Seq(GSE60143)/Homer	HAT2
HOXA9(Homeobox)/HSC-Hoxa9-ChIP-Seq(GSE33509)/Homer	HOXA9
HSFB3(HSF)/colamp-HSFB3-DAP-Seq(GSE60143)/Homer	HSFB3
RAV1(RAV)/colamp-RAV1-DAP-Seq(GSE60143)/Homer	RAV1
At3g12730(G2like)/colamp-At3g12730-DAP-Seq(GSE60143)/Homer	At3g12730
PR(NR)/T47D-PR-ChIP-Seq(GSE31130)/Homer	PGR
SeqBias: TA-repeat	SeqBias: TA-repeat
TATA-Box(TBP)/Promoter/Homer	TBP
TATA-Box(TBP)/Promoter/Homer	TBP
Maz(Zf)/HepG2-Maz-ChIP-Seq(GSE31477)/Homer	MAZ
ANAC057(NAC)/colamp-ANAC057-DAP-Seq(GSE60143)/Homer	ANAC057
Tcf3(HMG)/mES-Tcf3-ChIP-Seq(GSE11724)/Homer	TCF3
MafA(bZIP)/Islet-MafA-ChIP-Seq(GSE30298)/Homer	MAFA
HINFP(Zf)/K562-HINFP.eGFP-ChIP-Seq(Encode)/Homer	HINFP
BBX31(Orphan)/col-BBX31-DAP-Seq(GSE60143)/Homer	BBX31
ZBTB18(Zf)/HEK293-ZBTB18.GFP-ChIP-Seq(GSE58341)/Homer	ZBTB18
AT3G09735(S1Falike)/col-AT3G09735-DAP-Seq(GSE60143)/Homer	AT3G09735
Tbx21(T-box)/GM12878-TBX21-ChIP-Seq(Encode)/Homer	TBX21
AGL15(MADS)/col-AGL15-DAP-Seq(GSE60143)/Homer	AGL15
polyAsite/CPSF/Homer	polyAsite/CPSF/Homer
Gfi1b(Zf)/HPC7-Gfi1b-ChIP-Seq(GSE22178)/Homer	GFI1B
OBP4(C2C2dof)/col-OBP4-DAP-Seq(GSE60143)/Homer	OBP4
RARa(NR)/K562-RARa-ChIP-Seq(Encode)/Homer	RARA
Brn1(POU,Homeobox)/NPC-Brn1-ChIP-Seq(GSE35496)/Homer	POU3F3
TR4(NR),DR1/Hela-TR4-ChIP-Seq(GSE24685)/Homer	NR2C2
HSFB4(HSF)/col-HSFB4-DAP-Seq(GSE60143)/Homer	HSFB4
KLF17(Zf)/2cell-Klf17-CutnTag(GSE211845)/Homer	KLF17
Znf263(Zf)/K562-Znf263-ChIP-Seq(GSE31477)/Homer	ZNF263
ANAC096(NAC)/colamp-ANAC096-DAP-Seq(GSE60143)/Homer	ANAC096
At5g18450(AP2EREBP)/col-At5g18450-DAP-Seq(GSE60143)/Homer	At5g18450
COUP-TFII(NR)/K562-NR2F1-ChIP-Seq(Encode)/Homer	NR2F1
WRKY28(WRKY)/col-WRKY28-DAP-Seq(GSE60143)/Homer	WRKY28
Pax7(Paired,Homeobox)/Myoblast-Pax7-ChIP-Seq(GSE25064)/Homer	PAX7
Phox2a(Homeobox)/Neuron-Phox2a-ChIP-Seq(GSE31456)/Homer	PHOX2A
PRDM14(Zf)/H1-PRDM14-ChIP-Seq(GSE22767)/Homer	PRDM14
bZIP3(bZIP)/col-bZIP3-DAP-Seq(GSE60143)/Homer	bZIP3
KANADI1(Myb)/Seedling-KAN1-ChIP-Seq(GSE48081)/Homer	KANADI1
AR-halfsite(NR)/LNCaP-AR-ChIP-Seq(GSE27824)/Homer	AR
SMB(NAC)/colamp-SMB-DAP-Seq(GSE60143)/Homer	SMB
FOXA1:AR(Forkhead,NR)/LNCAP-AR-ChIP-Seq(GSE27824)/Homer	AR
LBD23(LOBAS2)/colamp-LBD23-DAP-Seq(GSE60143)/Homer	LBD23
TGA2(bZIP)/colamp-TGA2-DAP-Seq(GSE60143)/Homer	TGA2
SeqBias: CG bias	SeqBias: CG bias
ANAC028(NAC)/col-ANAC028-DAP-Seq(GSE60143)/Homer	ANAC028
NTM2(NAC)/col-NTM2-DAP-Seq(GSE60143)/Homer	NTM2
VND3(NAC)/colamp-VND3-DAP-Seq(GSE60143)/Homer	VND3
ANAC017(NAC)/colamp-ANAC017-DAP-Seq(GSE60143)/Homer	ANAC017
Mixl1(Homeobox)/EpiBlast-Mixl1-ChIP-seq(GSE161164)/Homer	MIXL1
E2F3(E2F)/MEF-E2F3-ChIP-Seq(GSE71376)/Homer	E2F3
HDG7(HB)/col-HDG7-DAP-Seq(GSE60143)/Homer	HDG7
AT1G19040(NAC)/col-AT1G19040-DAP-Seq(GSE60143)/Homer	AT1G19040
TOD6?/SacCer-Promoters/Homer	TOD6?/SacCer-Promoters/Homer
SHN3(AP2EREBP)/col-SHN3-DAP-Seq(GSE60143)/Homer	SHN3
ZBED2(Zf)/SUIT2-ZBED2.HA-ChIP-Seq(GSE141606)/Homer	ZBED2
RORgt(NR)/EL4-RORgt.Flag-ChIP-Seq(GSE56019)/Homer	RORC
RORgt(NR)/EL4-RORgt.Flag-ChIP-Seq(GSE56019)/Homer	RORC
Tbox:Smad(T-box,MAD)/ESCd5-Smad2_3-ChIP-Seq(GSE29422)/Homer	SMAD2
WRKY22(WRKY)/colamp-WRKY22-DAP-Seq(GSE60143)/Homer	WRKY22
NAM(NAC)/col-NAM-DAP-Seq(GSE60143)/Homer	NAM
NFAT:AP1(RHD,bZIP)/Jurkat-NFATC1-ChIP-Seq(Jolma_et_al.)/Homer	NFATC1
SeqBias: polyA-repeat	SeqBias: polyA-repeat
COG1(C2C2dof)/col-COG1-DAP-Seq(GSE60143)/Homer	COG1
Klf15(Zf)/Liver-Klf15-ChIP-Seq(GSE166083)/Homer	KLF15
OBP3(C2C2dof)/col-OBP3-DAP-Seq(GSE60143)/Homer	OBP3
ATHB6(Homeobox)/Arabidopsis-HB6-ChIP-Seq(GSE80564)/Homer	ATHB6(Homeobox)
DUX4(Homeobox)/Myoblasts-DUX4.V5-ChIP-Seq(GSE75791)/Homer	DUX4
ANAC005(NAC)/col-ANAC005-DAP-Seq(GSE60143)/Homer	ANAC005
At4g01280(MYBrelated)/colamp-At4g01280-DAP-Seq(GSE60143)/Homer	At4g01280
ISRE(IRF)/ThioMac-LPS-Expression(GSE23622)/Homer	ISRE
PABPC1(?)/MEL-PABC1-CLIP-Seq(GSE69755)/Homer	PABPC1
PAX5(Paired,Homeobox),condensed/GM12878-PAX5-ChIP-Seq(GSE32465)/Homer	PAX5
SPL9(SBP)/colamp-SPL9-DAP-Seq(GSE60143)/Homer	SPL9
THRb(NR)/HepG2-THRb.Flag-ChIP-Seq(Encode)/Homer	THRB
Pit1(Homeobox)/GCrat-Pit1-ChIP-Seq(GSE58009)/Homer	POU1F1
MYB49(MYB)/col-MYB49-DAP-Seq(GSE60143)/Homer	MYB49
ATHB33(ZFHD)/col-ATHB33-DAP-Seq(GSE60143)/Homer	ATHB33
MYB67(MYB)/col-MYB67-DAP-Seq(GSE60143)/Homer	MYB67
TRP2(MYBrelated)/colamp-TRP2-DAP-Seq(GSE60143)/Homer	TRP2
AT5G23930(mTERF)/col-AT5G23930-DAP-Seq(GSE60143)/Homer	AT5G23930
SND2(NAC)/colamp-SND2-DAP-Seq(GSE60143)/Homer	SND2
DDF2(AP2EREBP)/col-DDF2-DAP-Seq(GSE60143)/Homer	DDF2
SPL3(SBP)/colamp-SPL3-DAP-Seq(GSE60143)/Homer	SPL3
dof24(C2C2dof)/col-dof24-DAP-Seq(GSE60143)/Homer	dof24
LHY(Myb)/Seedling-LHY-ChIP-Seq(GSE52175)/Homer	LHY
ANAC062(NAC)/colamp-ANAC062-DAP-Seq(GSE60143)/Homer	ANAC062
GT2(Trihelix)/colamp-GT2-DAP-Seq(GSE60143)/Homer	GT2
Sox7(HMG)/ESC-Sox7-ChIP-Seq(GSE133899)/Homer	SOX7
At3g60580(C2H2)/col-At3g60580-DAP-Seq(GSE60143)/Homer	At3g60580
ANAC050(NAC)/colamp-ANAC050-DAP-Seq(GSE60143)/Homer	ANAC050
VIP1(bZIP)/col-VIP1-DAP-Seq(GSE60143)/Homer	VIP1
WRKY71(WRKY)/col-WRKY71-DAP-Seq(GSE60143)/Homer	WRKY71
CRF10(AP2EREBP)/col100-CRF10-DAP-Seq(GSE60143)/Homer	CRF10
NF1(CTF)/LNCAP-NF1-ChIP-Seq(Unpublished)/Homer	NF1
WRKY55(WRKY)/col-WRKY55-DAP-Seq(GSE60143)/Homer	WRKY55
ANAC053(NAC)/colamp-ANAC053-DAP-Seq(GSE60143)/Homer	ANAC053
LEP(AP2EREBP)/col-LEP-DAP-Seq(GSE60143)/Homer	LEP
At1g77640(AP2EREBP)/col-At1g77640-DAP-Seq(GSE60143)/Homer	At1g77640
CUC3(NAC)/col-CUC3-DAP-Seq(GSE60143)/Homer	CUC3
Foxh1(Forkhead)/hESC-FOXH1-ChIP-Seq(GSE29422)/Homer	FOXH1
MITF(bHLH)/MastCells-MITF-ChIP-Seq(GSE48085)/Homer	MITF
CES-1(Homeobox)/cElegans-L1-CES1-ChIP-Seq(modEncode)/Homer	CES-1
SPL1(SBP)/colamp-SPL1-DAP-Seq(GSE60143)/Homer	SPL1
Lhx1(Homeobox)/EmbryoCarcinoma-Lhx1-ChIP-Seq(GSE70957)/Homer	LHX1
GATA(Zf),IR4/iTreg-Gata3-ChIP-Seq(GSE20898)/Homer	GATA3
Emx2(Homeobox)/Cortex-Emx2-ChIP-Seq(GSE183130)/Homer	EMX2
AZF1(C2H2)/colamp-AZF1-DAP-Seq(GSE60143)/Homer	AZF1
Olig2(bHLH)/Neuron-Olig2-ChIP-Seq(GSE30882)/Homer	OLIG2
ZNF711(Zf)/SHSY5Y-ZNF711-ChIP-Seq(GSE20673)/Homer	ZNF711
NST1(NAC)/colamp-NST1-DAP-Seq(GSE60143)/Homer	NST1
AT2G28920(ND)/col-AT2G28920-DAP-Seq(GSE60143)/Homer	AT2G28920
Unknown(Homeobox)/Limb-p300-ChIP-Seq/Homer	EP300
Nkx2.1(Homeobox)/LungAC-Nkx2.1-ChIP-Seq(GSE43252)/Homer	NKX2-1
TCP7(TCP)/col-TCP7-DAP-Seq(GSE60143)/Homer	TCP7
AT2G28810(C2C2dof)/colamp-AT2G28810-DAP-Seq(GSE60143)/Homer	AT2G28810
At3g09600(MYBrelated)/colamp-At3g09600-DAP-Seq(GSE60143)/Homer	At3g09600
At1g68670(G2like)/colamp-At1g68670-DAP-Seq(GSE60143)/Homer	At1g68670
AT5G60130(ABI3VP1)/col-AT5G60130-DAP-Seq(GSE60143)/Homer	AT5G60130
PAX3:FKHR-fusion(Paired,Homeobox)/Rh4-PAX3:FKHR-ChIP-Seq(GSE19063)/Homer	PAX3-FOXO1
FOXM1(Forkhead)/MCF7-FOXM1-ChIP-Seq(GSE72977)/Homer	FOXM1
Smad2(MAD)/ES-SMAD2-ChIP-Seq(GSE29422)/Homer	SMAD2
PPARa(NR),DR1/Liver-Ppara-ChIP-Seq(GSE47954)/Homer	PPARA
RARg(NR)/ES-RARg-ChIP-Seq(GSE30538)/Homer	RARG
REF6(Zf)/Arabidopsis-REF6-ChIP-Seq(GSE106942)/Homer	REF6
MYB119(MYB)/colamp-MYB119-DAP-Seq(GSE60143)/Homer	MYB119
NF1:FOXA1(CTF,Forkhead)/LNCAP-FOXA1-ChIP-Seq(GSE27824)/Homer	FOXA1
FEA4(bZIP)/Corn-FEA4-ChIP-Seq(GSE61954)/Homer	FEA4
Hoxc10(Homeobox)/EB-Hoxc10.iFlag-ChIP-Seq(GSE142377)/Homer	HOXC10
Hoxa11(Homeobox)/ChickenMSG-Hoxa11.Flag-ChIP-Seq(GSE86088)/Homer	HOXA11
MYB51(MYB)/col-MYB51-DAP-Seq(GSE60143)/Homer	MYB51
ATHB25(ZFHD)/colamp-ATHB25-DAP-Seq(GSE60143)/Homer	ATHB25
SPL14(SBP)/col-SPL14-DAP-Seq(GSE60143)/Homer	SPL14
LXRE(NR),DR4/RAW-LXRb.biotin-ChIP-Seq(GSE21512)/Homer	LXRE
STOP1(C2H2)/colamp-STOP1-DAP-Seq(GSE60143)/Homer	STOP1
RBPJ:Ebox(?,bHLH)/Panc1-Rbpj1-ChIP-Seq(GSE47459)/Homer	RBPJ
E-box(bHLH)/Promoter/Homer	E-box
AT1G69570(C2C2dof)/col-AT1G69570-DAP-Seq(GSE60143)/Homer	AT1G69570
GATA3(Zf),DR4/iTreg-Gata3-ChIP-Seq(GSE20898)/Homer	GATA3
dof42(C2C2dof)/col-dof42-DAP-Seq(GSE60143)/Homer	dof42
O2(bZIP)/Corn-O2-ChIP-Seq(GSE63991)/Homer	O2
At5g08330(TCP)/col-At5g08330-DAP-Seq(GSE60143)/Homer	At5g08330
EGL-5(Homeobox)/cElegans-L3-EGL5-ChIP-Seq(modEncode)/Homer	EGL-5
ATHB7(Homeobox)/col-ATHB7-DAP-Seq(GSE60143)/Homer	ATHB7
ANAC013(NAC)/col-ANAC013-DAP-Seq(GSE60143)/Homer	ANAC013
At5g65130(AP2EREBP)/colamp-At5g65130-DAP-Seq(GSE60143)/Homer	At5g65130
Pit1+1bp(Homeobox)/GCrat-Pit1-ChIP-Seq(GSE58009)/Homer	POU1F1
FOXA1(Forkhead)/MCF7-FOXA1-ChIP-Seq(GSE26831)/Homer	FOXA1
AGL16(MADS)/col-AGL16-DAP-Seq(GSE60143)/Homer	AGL16
HSF6(HSF)/col-HSF6-DAP-Seq(GSE60143)/Homer	HSF6
NFAT(RHD)/Jurkat-NFATC1-ChIP-Seq(Jolma_et_al.)/Homer	NFATC1
MYB3R1(MYB)/col-MYB3R1-DAP-Seq(GSE60143)/Homer	MYB3R1
SND3(NAC)/col-SND3-DAP-Seq(GSE60143)/Homer	SND3
ANAC004(NAC)/colamp-ANAC004-DAP-Seq(GSE60143)/Homer	ANAC004
MYB3R4(MYB)/col-MYB3R4-DAP-Seq(GSE60143)/Homer	MYB3R4
COUP-TFII(NR)/Artia-Nr2f2-ChIP-Seq(GSE46497)/Homer	NR2F2
TEAD(TEA)/Fibroblast-PU.1-ChIP-Seq(Unpublished)/Homer	TEAD
DMRT1(DM)/Testis-DMRT1-ChIP-Seq(GSE64892)/Homer	DMRT1
SF1(NR)/H295R-Nr5a1-ChIP-Seq(GSE44220)/Homer	NR5A1
CTCF(Zf)/CD4+-CTCF-ChIP-Seq(Barski_et_al.)/Homer	CTCF
Zscan4c(Zf)/ESC-Zscan4c-ChIP-seq(GSE140619)/Homer	ZSCAN4C
AT1G23810(Orphan)/col-AT1G23810-DAP-Seq(GSE60143)/Homer	AT1G23810
ANAC083(NAC)/col-ANAC083-DAP-Seq(GSE60143)/Homer	ANAC083
STAT5(Stat)/mCD4+-Stat5-ChIP-Seq(GSE12346)/Homer	STAT5
WRKY33(WRKY)/col-WRKY33-DAP-Seq(GSE60143)/Homer	WRKY33
WRKY75(WRKY)/col-WRKY75-DAP-Seq(GSE60143)/Homer	WRKY75
MYB39(MYB)/col-MYB39-DAP-Seq(GSE60143)/Homer	MYB39
IRF2(IRF)/Erythroblas-IRF2-ChIP-Seq(GSE36985)/Homer	IRF2
DLX1(Homeobox)/BasalGanglia-Dlx1-ChIP-seq(GSE124936)/Homer	DLX1
STAT6(Stat)/Macrophage-Stat6-ChIP-Seq(GSE38377)/Homer	STAT6
WRKY20(WRKY)/col-WRKY20-DAP-Seq(GSE60143)/Homer	WRKY20
At5g29000(G2like)/col-At5g29000-DAP-Seq(GSE60143)/Homer	At5g29000
TCP1(TCP)/col-TCP1-DAP-Seq(GSE60143)/Homer	TCP1
Smad4(MAD)/ESC-SMAD4-ChIP-Seq(GSE29422)/Homer	SMAD4
ANAC016(NAC)/col-ANAC016-DAP-Seq(GSE60143)/Homer	ANAC016
Hoxd9(Homeobox)/EB-Hoxd9.HA-ChIP-Seq(GSE142377)/Homer	HOXD9
VND2(NAC)/col-VND2-DAP-Seq(GSE60143)/Homer	VND2
At2g01060(G2like)/colamp-At2g01060-DAP-Seq(GSE60143)/Homer	At2g01060
TFE3(bHLH)/MEF-TFE3-ChIP-Seq(GSE75757)/Homer	TFE3
ATHB24(ZFHD)/colamp-ATHB24-DAP-Seq(GSE60143)/Homer	ATHB24
WRKY6(WRKY)/colamp-WRKY6-DAP-Seq(GSE60143)/Homer	WRKY6
Pdx1(Homeobox)/Islet-Pdx1-ChIP-Seq(SRA008281)/Homer	PDX1
WRKY18(WRKY)/col-WRKY18-DAP-Seq(GSE60143)/Homer	WRKY18
ZNF91(Zf)/HEK-ZNF91.HA-ChIP-Seq(GSE162571)/Homer	ZNF91
Bcl6(Zf)/Liver-Bcl6-ChIP-Seq(GSE31578)/Homer	BCL6
AT2G15740(C2H2)/col-AT2G15740-DAP-Seq(GSE60143)/Homer	AT2G15740
Mef2d(MADS)/Retina-Mef2d-ChIP-Seq(GSE61391)/Homer	MEF2D
STAT6(Stat)/CD4-Stat6-ChIP-Seq(GSE22104)/Homer	STAT6
hTCT(CPE)	hTCT
WRKY65(WRKY)/colamp-WRKY65-DAP-Seq(GSE60143)/Homer	WRKY65
SPL13(SBP)/col-SPL13-DAP-Seq(GSE60143)/Homer	SPL13
VND1(NAC)/col-VND1-DAP-Seq(GSE60143)/Homer	VND1
